relative_path,risk_type,occurrence_count,redacted_fingerprint,portable_replacement
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/quantitative_candidates_carried_forward_manifest.json,absolute_home_path,2,5b9850df75b9,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/06_CLAIM-ADJUDICATION-PREP/aggressive_claim_support_packet.jsonl,absolute_home_path,38,c38d0343f16c,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-EXTRACTION-500DOC-2026-07-25/compensation_extraction_500_packet_manifest.csv,absolute_home_path,108,10e2581aa250,repository-relative or environment-configured path
docs/analysis/gabriel_wrapper_smoke_test_2026-07-20.md,absolute_home_path,4,a70b2a9852fb,repository-relative or environment-configured path
docs/analysis/wave2_worker_2_tx50_prep_prompt_2026-07-22.md,absolute_home_path,2,f883005d08c4,repository-relative or environment-configured path
docs/analysis/tier1_worker_3_prep_prompt_2026-07-22.md,absolute_home_path,3,46df15556afd,repository-relative or environment-configured path
docs/analysis/text_table_detection_full_run_merge_prompt_2026-07-24.md,absolute_home_path,1,fe9fc7c2ca5a,repository-relative or environment-configured path
docs/analysis/tier1_wave2_worker_2_prep_prompt_2026-07-22.md,absolute_home_path,4,f883005d08c4,repository-relative or environment-configured path
docs/analysis/post_pi_wave1_worker_1_prep_prompt_2026-07-23.md,absolute_home_path,3,4def2c4747e3,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_exam_input_audit.json,absolute_home_path,1,700a13d268b8,repository-relative or environment-configured path
docs/analysis/parallel_worker_api_stability_diagnosis_2026-07-21.md,absolute_home_path,8,35051244e606,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-QUALITATIVE-USAGE-LAYER-2026-07-25/quantitative_candidates_carried_forward_manifest.json,absolute_home_path,1,5b9850df75b9,repository-relative or environment-configured path
tmp/resume_remaining_gabriel_rating_after_schema_repair.sh,absolute_home_path,1,700a13d268b8,repository-relative or environment-configured path
tmp/field_span_runtime_recovery_reconcile.py,absolute_home_path,1,700a13d268b8,repository-relative or environment-configured path
tmp/launch_remaining_gabriel_rating_5lane.sh,absolute_home_path,1,700a13d268b8,repository-relative or environment-configured path
tmp/launch_remaining_live_scout_retry_5lane.sh,absolute_home_path,1,700a13d268b8,repository-relative or environment-configured path
