duplicate_candidate_id,canonical_candidate_id,duplicate_basis,duplicate_wave,canonical_wave,confidence
RESCAND-29aacbec7d09d4e81a163abf,RESCAND-29aacbec7d09d4e81a163abf,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-15c249ac3e1c7afe8c7cd3bd,RESCAND-6d2b72a1fcf8f5b7cc951577,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-170bb0786190caf8ac3fb1c2,RESCAND-4d7a021a4dabe968f61d4e45,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-59e458c36db11bbe83ba6424,RESCAND-5fc707dbe485c3c1dc9864ec,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-4768743b5ed353c9444540f0,RESCAND-7d9f1a72ab9d4db1ec9c419f,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-5690d4bc2e495de75a8625be,RESCAND-b68926d7414a5c6986aeacaf,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-9afc848716bbb9dc7c926fef,RESCAND-c07c9e833c8f25b040800fa6,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-5acd5aa187628a0128bbabc1,RESCAND-b6715ce9a75c2f0dd5f6fb4b,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-32cd9a44707f33979043cd49,EXTCAND-cf6df63d22744164597fee72,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-0b907f3e698293b1e6e17d7d,EXTCAND-27ad6d8d56a25c2d1f8bac3b,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-22b37331d0dbe73513c9758d,RESCAND-b5e285f284b5b4bd485ead96,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-83caede3e5ac3acd11d3e1c1,EXTCAND-3a50c284386cf4d0bdf5a15a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
