duplicate_candidate_id,canonical_candidate_id,duplicate_basis,duplicate_wave,canonical_wave,confidence
RESCAND-3b1c23438234c9a3d9ae51ad,EXTCAND-189271c5fe4adfc299021ede,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-aec9ff2ceafdf15dc420299c,EXTCAND-876e0513eacf84cb1396edff,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-bf37e10d68c438423db602f8,EXTCAND-2cf2cb44807ca8efb0c803e6,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-cf5747f2f0684dccc4b3b44f,EXTCAND-517ff0f2a1b97bdde39b7441,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-e269175cc52884b21a173d49,RESCAND-e269175cc52884b21a173d49,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-ed50ade0ef71936a79ce5040,EXTCAND-8ab9c96315636a5f2711a592,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-ab6970cce66a2d08f981f140,RESCAND-ab6970cce66a2d08f981f140,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-f82c5be6f3c6ee5312181c23,EXTCAND-5237a214304b6b52113cfb70,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-2000db8f24c1a93ee72214c9,EXTCAND-8d9be40aa6b24a53ca3590f8,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-0ae1baa0c465871a400ee577,EXTCAND-bde870835480df693fb91136,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-f48ad33ea4cbf712d871b3ce,EXTCAND-0df9a185836c19060259b13e,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-2b6cef2f35b871b3b042d043,EXTCAND-c06dc4b87d0636f7e90e94c3,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-52911f9e0c76d48403a32dbf,EXTCAND-c58833af143eeda44e21f6c9,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-c49ccb32c29eb7465a9268e3,EXTCAND-8bf1d5f76aa4570f49ab2b85,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-f3d11a43e5c09a8ad17f73f6,EXTCAND-90d43143b0bd288333e4d8eb,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-0bdfe23a73c6b16999cfe238,EXTCAND-dfaf5a83e22596848e99d68a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-fe9195061c94dd44b9e51393,RESCAND-fe9195061c94dd44b9e51393,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-f48ad33ea4cbf712d871b3ce,EXTCAND-0df9a185836c19060259b13e,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-0ae1baa0c465871a400ee577,EXTCAND-bde870835480df693fb91136,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-645cc085ec5bb054d1563b63,EXTCAND-a7fd85401e524a4e6c4ccc27,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-cdeb7362d30f2f5952733af2,EXTCAND-4363eb73ebe30dafa50aef3a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-e79c6098e889bbb0566d1a08,EXTCAND-aec3d38b3f7f5baa7757fc76,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-e9b295730da404ba259f2d31,EXTCAND-941c63e22248310329b2c057,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-e45cbd3a8d69ee3145ae7c06,EXTCAND-c58833af143eeda44e21f6c9,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-ac809b4ee50c6c49f00a158d,EXTCAND-fc635644cdfacec7c9ff1188,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-fad275c585bc0d2809811dfc,RESCAND-fad275c585bc0d2809811dfc,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-86e7b8da4b00053ea2e7e5dd,RESCAND-86e7b8da4b00053ea2e7e5dd,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-3ed7d6b8755fd64c99ae7465,RESCAND-3ed7d6b8755fd64c99ae7465,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-d668a26268500f46064d84aa,EXTCAND-2a1608c1565c297c8e5801b8,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-59a56932eb1cdc5758d655ac,RESCAND-249db374656c37da1a00c78f,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-8d15bfd95f593d91f19aa280,RESCAND-68883d1c50c27c84c304a75e,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-98676d4ecccad14bf0adccb8,EXTCAND-67cc11447823fb4e73f65c74,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
