source_domain,reviewed_rows,source_review_ready,ready_high,ready_medium,ready_low,deferred_or_excluded,global_analysis_readiness
chathamborough.org,2,1,1,0,0,1,false
chathamil.gov,2,0,0,0,0,2,false
cheboygan.org,1,1,0,1,0,0,false
chelmsfordma.gov,3,0,0,0,0,3,false
cheneyks.org,2,2,0,2,0,0,false
cherokeeiowa.net,2,0,0,0,0,2,false
cherokeevillage.gov,2,2,2,0,0,0,false
cherryhillsvillage.com,3,2,2,0,0,1,false
chesapeake.wv.gov,3,0,0,0,0,3,false
cheshirect.gov,5,1,0,1,0,4,false
chester-montana.com,2,2,0,2,0,0,false
chesterfieldtwp.org,5,0,0,0,0,5,false
chestertonin.org,4,0,0,0,0,4,false
chestervt.gov,3,3,3,0,0,0,false
cheswold.delaware.gov,2,2,2,0,0,0,false
cheverly-md.gov,1,0,0,0,0,1,false
chevychasevillagemd.gov,2,0,0,0,0,2,false
chicagoridge.org,4,0,0,0,0,4,false
chickasha.gov,3,1,1,0,0,2,false
chickasha.k12.ok.us,1,1,1,0,0,0,false
chilhowie.org,2,2,2,0,0,0,false
chiltonwi.gov,1,0,0,0,0,1,false
chinamaine.org,2,2,1,1,0,0,false
chincoteague-va.gov,2,2,2,0,0,0,false
chinoaz.net,1,0,0,0,0,1,false
chinovalleyaz.gov,3,0,0,0,0,3,false
choosecarmelin.com,1,0,0,0,0,1,false
choteau.municipalcodeonline.com,1,0,0,0,0,1,false
choteaumt.org,1,1,0,1,0,0,false
christiansburg.org,4,2,0,2,0,2,false
churchhillmd.com,2,2,0,2,0,0,false
churchhilltn.gov,1,1,1,0,0,0,false
churchpoint.org,1,1,1,0,0,0,false
ci.anderson.ca.us,2,2,2,0,0,0,false
ci.auburn.in.us,1,0,0,0,0,1,false
ci.aurora.or.us,1,0,0,0,0,1,false
ci.bay-city.or.us,3,0,0,0,0,3,false
ci.becker.mn.us,2,2,2,0,0,0,false
ci.benton-city.wa.us,1,1,1,0,0,0,false
ci.blaine.wa.us,3,0,0,0,0,3,false
ci.bloomer.wi.us,2,0,0,0,0,2,false
ci.boerne.tx.us,2,1,1,0,0,1,false
ci.buffalo.mn.us,1,0,0,0,0,1,false
ci.cambridge.mn.us,1,0,0,0,0,1,false
ci.cannon-beach.or.us,5,0,0,0,0,5,false
ci.carnation.wa.us,1,0,0,0,0,1,false
ci.castle-rock.wa.us,1,1,1,0,0,0,false
ci.chehalis.wa.us,3,1,1,0,0,2,false
ci.chisholm.mn.us,2,2,2,0,0,0,false
ci.crowley.tx.us,3,0,0,0,0,3,false
ci.durham.nh.us,4,0,0,0,0,4,false
ci.east-bethel.mn.us,3,3,3,0,0,0,false
ci.emporia.va.us,2,0,0,0,0,2,false
ci.garibaldi.or.us,2,0,0,0,0,2,false
ci.goldendale.wa.us,1,1,1,0,0,0,false
ci.gothenburg.ne.us,3,3,3,0,0,0,false
ci.healdsburg.ca.us,3,0,0,0,0,3,false
ci.international-falls.mn.us,3,3,3,0,0,0,false
ci.jerome.id.us,3,3,3,0,0,0,false
ci.king.nc.us,2,2,2,0,0,0,false
ci.lacenter.wa.us,3,3,3,0,0,0,false
ci.lamar.co.us,1,0,0,0,0,1,false
ci.larkspur.ca.us,3,0,0,0,0,3,false
ci.lincolnton.nc.us,2,0,0,0,0,2,false
ci.litchfield.mn.us,1,1,1,0,0,0,false
ci.marathon.fl.us,2,0,0,0,0,2,false
ci.mill-city.or.us,3,0,0,0,0,3,false
ci.monticello.ia.us,1,1,1,0,0,0,false
ci.mora.mn.us,3,3,3,0,0,0,false
ci.morris.mn.us,1,1,1,0,0,0,false
ci.nederland.tx.us,6,0,0,0,0,6,false
ci.poquoson.va.us,3,2,2,0,0,1,false
ci.redwood-falls.mn.us,1,1,1,0,0,0,false
ci.sauk-rapids.mn.us,1,1,0,1,0,0,false
