extraction_result_id,canonical_payload_id,candidate_id,linkage_basis
EXTEXTRACT-a040c71e0f045d42904970ba,EXTPAYLOAD-01ecd274e11d960ad324a10e,RESCAND-be92aef08745877bf7df7975,readiness_preserved_lineage
EXTEXTRACT-8c81b00dd6831f2e8100bed2,EXTPAYLOAD-01f2c8917243c7a4f5103941,EXTCAND-b5b9e31b55bbc5cc3b0336a7,readiness_preserved_lineage
EXTEXTRACT-1ecf193743af5bc4f62e300e,EXTPAYLOAD-01f373ea2ae582d16e236e3d,RESCAND-8bd6d0f5b4914b3fca531d12,readiness_preserved_lineage
EXTEXTRACT-a281f84a522d6e52e41bb2e5,EXTPAYLOAD-01f681a6ccf171760f11e3fb,EXTCAND-bf334365a5324f2989311aa3,readiness_preserved_lineage
EXTEXTRACT-132e02f049cac21f65356896,EXTPAYLOAD-01f786d62bd5aa73617c1201,EXTCAND-491cb5366ccee81ca5839e51,readiness_preserved_lineage
EXTEXTRACT-0cf6ba6b539db138c659b5a8,EXTPAYLOAD-01f7a616673c3e41f7c03aa7,EXTCAND-e7e42b00b16ccd1210051141,readiness_preserved_lineage
EXTEXTRACT-dc69e7971bf85e830d4d8996,EXTPAYLOAD-01fc3efc54aaa8c8686e6c42,EXTCAND-ac08eab290bcb6190aa5521b,readiness_preserved_lineage
EXTEXTRACT-06caf3d39fc94e1ab935d9e3,EXTPAYLOAD-020bc057c3774746f65fa67a,RESCAND-fef2c5720f81bd5065601523,readiness_preserved_lineage
EXTEXTRACT-6952420999a81ae0fe253901,EXTPAYLOAD-020e68f72165f2a469e4e522,EXTCAND-a827ac07e472810ffc615318,readiness_preserved_lineage
EXTEXTRACT-fb73fa5aa047972ebb87e63c,EXTPAYLOAD-021ac0465b5acd8a3ae92cb3,RESCAND-deafa29a191463eaa1df7a1e,readiness_preserved_lineage
EXTEXTRACT-c923edde871039897eb210a2,EXTPAYLOAD-022122ba173c77580afe5c57,EXTCAND-cbe686a9a8da2dd3b07ffca5,readiness_preserved_lineage
EXTEXTRACT-67d6d7b00b01cd995a36d243,EXTPAYLOAD-0227c5acb21a2b32151bb746,EXTCAND-2748458d5106a11f412dc585,readiness_preserved_lineage
EXTEXTRACT-8cefaa22e0e1b85f511e484c,EXTPAYLOAD-0227e7801455573e4538a499,RESCAND-79a821ff5e18408e1a612004,readiness_preserved_lineage
EXTEXTRACT-51d3eec8e13d0453acbac5bf,EXTPAYLOAD-022f9ef86e445bac7aa2a16a,RESCAND-0f38f7ecd14a0077bf4c031a,readiness_preserved_lineage
EXTEXTRACT-4095f8c4a6581e5048bc0105,EXTPAYLOAD-02342c7ff8d2f7aefe40b68b,RESCAND-33fa2a476e4843e99e8d3d7d,readiness_preserved_lineage
EXTEXTRACT-4095f8c4a6581e5048bc0105,EXTPAYLOAD-02342c7ff8d2f7aefe40b68b,RESCAND-628cff64978249dc835eb341,readiness_preserved_lineage
EXTEXTRACT-b49d9caa45001f81ec431383,EXTPAYLOAD-023505428aa881207313b282,EXTCAND-588c6da4092909d82761a0e2,readiness_preserved_lineage
EXTEXTRACT-51a4dc04c574b08a6afe803a,EXTPAYLOAD-023a4a2a71cc295ae54dacd3,RESCAND-3e913bfeac31664d349d59eb,readiness_preserved_lineage
EXTEXTRACT-cae99f8dc3bcc158edbf691a,EXTPAYLOAD-0258326abc2e13ae8a8add90,RESCAND-e4e98f3d8c91fc4a3e7f2b14,readiness_preserved_lineage
EXTEXTRACT-3b9f7bde6c1daa70b32836e4,EXTPAYLOAD-025880dd4b32d6f934d9613e,RESCAND-fd2eec19b666292933be79c1,readiness_preserved_lineage
EXTEXTRACT-26b25426169de19c32a7cc59,EXTPAYLOAD-025ca2fa2e15b35677d62205,RESCAND-0f9632d76242accade3915e8,readiness_preserved_lineage
EXTEXTRACT-003f91422de95a560cccd101,EXTPAYLOAD-0260fbbd8721d1e1a5d36e5d,RESCAND-a41332559e97103ee2a73512,readiness_preserved_lineage
EXTEXTRACT-1d4e6ff669cb2639bda694e6,EXTPAYLOAD-02741aed51b21581eed36b30,RESCAND-6f2a0d7907078935631d68da,readiness_preserved_lineage
EXTEXTRACT-9006e5d914765e3c1fa78890,EXTPAYLOAD-027567f1b34c9f73a9e3f489,EXTCAND-c1103b06a4623a20fa2e59b7,readiness_preserved_lineage
EXTEXTRACT-ffc055b0c0aeea98259e7a3d,EXTPAYLOAD-027580a602a1b43be420641a,EXTCAND-ba928a95a3c0aee86de8d7e0,readiness_preserved_lineage
EXTEXTRACT-5ef2f69d67d1e54035574caa,EXTPAYLOAD-0277b640867c85bb476ab4d4,RESCAND-8d15649b748b020e14715dbf,readiness_preserved_lineage
EXTEXTRACT-2cebba49ebe071e26a98f30a,EXTPAYLOAD-0281ef687d09691d8ff25df5,EXTCAND-26f13342445630abf7c99f21,readiness_preserved_lineage
EXTEXTRACT-629abde86c67b900a23fabfb,EXTPAYLOAD-02869b81c3d9af0ea628b049,EXTCAND-73bd4a95ecdb2ff7eec9543e,readiness_preserved_lineage
EXTEXTRACT-728682afba5059e30a560bd3,EXTPAYLOAD-028faf008329224b1d746ff1,RESCAND-97b71f3ded1c6e45469f2f26,readiness_preserved_lineage
EXTEXTRACT-0045e3fd3a33cf4dd536d9a7,EXTPAYLOAD-02914225cde6e1ef51ec50db,RESCAND-9670e796433046f6400cd193,readiness_preserved_lineage
EXTEXTRACT-465ceb01b874015af806d24b,EXTPAYLOAD-02936d089409b6911e006952,EXTCAND-9d75d74b5b5a591c172ff940,readiness_preserved_lineage
EXTEXTRACT-9cf2f50b20f0723816af24d7,EXTPAYLOAD-0294499b23aedef9f6434a84,RESCAND-c256a2c3e5047160610dcdae,readiness_preserved_lineage
EXTEXTRACT-14178444f677ca2830126996,EXTPAYLOAD-0296f29d675228332b91b193,EXTCAND-ea1aec67f57d8e422ec78f81,readiness_preserved_lineage
EXTEXTRACT-01ef89a5c3992e37eb48b280,EXTPAYLOAD-029d1d070be28c27fe11f14b,RESCAND-0fd184fbfa6aee5cdc0e63fb,readiness_preserved_lineage
EXTEXTRACT-05da08d6f3f15ce197cccc09,EXTPAYLOAD-02a309aec12ed756103b5490,RESCAND-5f527391c183d09ec1fd8971,readiness_preserved_lineage
EXTEXTRACT-874779b3f4f0832c1bc5de97,EXTPAYLOAD-02a528ef57318404e9c169e3,RESCAND-32222865f92e775f63144fe0,readiness_preserved_lineage
EXTEXTRACT-7a04ab5e881915e4c790f18f,EXTPAYLOAD-02a723945c7eb0c831712ecf,RESCAND-82ddb42e6f6d80164d4573ff,readiness_preserved_lineage
EXTEXTRACT-5556ff899a00fdf285b76322,EXTPAYLOAD-02b14e750378b66368ddb958,RESCAND-ee017e3c68e25604ff671854,readiness_preserved_lineage
EXTEXTRACT-d8ce33b5bdec92f5856b0f95,EXTPAYLOAD-02b3b2909cd9b10ea609b3b6,EXTCAND-0f49c7a21ee918ffa666cd06,readiness_preserved_lineage
EXTEXTRACT-675531060c845fbcf2f40780,EXTPAYLOAD-02b5039cd46839e0f6a70184,EXTCAND-e65621cd6da7a85061b52b54,readiness_preserved_lineage
