municipality,attempted_rows,retained_sources,excluded_or_deferred,retained_bytes,global_analysis_readiness
Cloudcroft,3,3,0,520984,false
Clover,2,2,0,181110,false
Clyde Hill,2,2,0,323032,false
Clyde Park,2,2,0,467327,false
Coburg,1,1,0,131050,false
Cocoa Beach,1,0,1,0,false
Coffeyville,2,2,0,7197989,false
Colby,3,3,0,119379,false
Colchester,6,6,0,4242024,false
Cold Spring,3,3,0,37534347,false
Coldwater,1,1,0,83463,false
Colerain,1,1,0,10514153,false
Collingdale,2,2,0,380044,false
Collinsville,4,4,0,2822789,false
Colonial Heights,1,0,1,0,false
Colorado City,3,2,1,159849,false
Colstrip,2,2,0,1490044,false
Colton,2,2,0,8884997,false
Columbia,2,1,1,1690424,false
Columbia City,3,3,0,11045116,false
Columbus,4,4,0,758266,false
Columbus Grove,1,1,0,430030,false
Colusa,1,1,0,335753,false
Combined Locks,2,2,0,583267,false
Commerce City,2,1,1,51977,false
Commerce charter,3,3,0,11315095,false
Comstock charter,1,1,0,60967,false
Concord,5,5,0,7508848,false
Connell,3,3,0,87773,false
Connellsville,3,3,0,490421,false
Conover,2,1,1,18253669,false
Conshohocken,1,1,0,114324,false
Conway,2,2,0,3609517,false
Coolbaugh,1,1,0,424561,false
Coolidge,4,4,0,810352,false
Coon Rapids,2,2,0,1067028,false
Cooperstown,3,3,0,96731,false
Coopersville,2,2,0,535455,false
Coopertown,2,2,0,1480220,false
Coquille,1,1,0,525685,false
Corcoran,4,2,2,59520221,false
Cordele,1,0,1,0,false
Cordova,1,1,0,3617118,false
Cornelius,1,0,1,0,false
Corning,2,2,0,8577340,false
Coronado,6,6,0,12741392,false
Corry,2,2,0,9111768,false
Corsicana,2,2,0,4779965,false
Corte Madera,1,1,0,905414,false
Cortez,2,2,0,294345,false
Corvallis,1,1,0,60729,false
Cosmopolis,2,2,0,3655261,false
Cottage City,1,1,0,2656287,false
Council,1,1,0,83112,false
Council Grove,3,3,0,13848329,false
Country Club Hills,6,6,0,12150615,false
Coupeville,2,2,0,3158286,false
Coventry,4,4,0,10803859,false
Covina,2,2,0,1133359,false
Covington,9,9,0,46642927,false
Coweta,2,0,2,0,false
Credit River,1,1,0,650434,false
Creighton,1,1,0,531248,false
Crescent City,2,2,0,26298494,false
Cresskill,3,3,0,272077,false
Crest Hill,3,3,0,36294644,false
Creston,3,3,0,439180,false
Crestwood,1,0,1,0,false
Crete,5,4,1,353388,false
Crittenden,2,1,1,36376,false
Cromwell,1,1,0,106893,false
Crooks,2,2,0,6919637,false
Crookston,2,0,2,0,false
Crooksville,3,3,0,396822,false
Cross Plains,2,2,0,152169,false
Crossett,2,2,0,559716,false
Crossville,1,0,1,0,false
Croton-on-Hudson,1,1,0,1258126,false
Crowley,1,0,1,0,false
Crystal Springs,2,2,0,1297130,false
Cuba,2,2,0,513398,false
Cuba City,1,1,0,44702,false
Culbertson,1,1,0,1023064,false
Cullman,1,0,1,0,false
Culpeper,3,3,0,5099828,false
Culver,1,1,0,2157141,false
Cumberland,2,2,0,544494,false
Cumru,2,1,1,195,false
Cushing,2,2,0,23106436,false
Cut Bank,1,1,0,44807,false
D'Iberville,1,1,0,381781,false
Dacono,2,0,2,0,false
Dade City,4,4,0,885155,false
Dalhart,1,1,0,93986,false
Dalton,2,2,0,484606,false
Danvers,3,3,0,2058844,false
Danville,5,5,0,4798561,false
Daphne,1,0,1,0,false
Darby,2,2,0,290656,false
Dardanelle,1,1,0,198733,false
Dardenne Prairie,1,1,0,3130541,false
Dartmouth,2,2,0,6612592,false
David City,2,2,0,3998309,false
Davidson,3,3,0,54164849,false
Davison,2,2,0,7648798,false
Dayton,3,2,1,1099174,false
Daytona Beach Shores,1,1,0,105533,false
De Pere,1,1,0,77903,false
De Smet,1,1,0,169703,false
De Witt,3,3,0,1234993,false
DeWitt,3,3,0,19373048,false
DeWitt charter,2,0,2,0,false
Deadwood,2,2,0,784725,false
Decatur,4,4,0,337507,false
Decorah,1,1,0,265061,false
Deer Lodge,1,0,1,0,false
Deer Park,1,0,1,0,false
Deerfield,1,0,1,0,false
Defiance,1,1,0,768936,false
Del City,4,3,1,550116,false
Del Rio,2,1,1,1016370,false
Delafield,8,5,3,1786005,false
Delcambre,2,1,1,579480,false
Delhi,2,2,0,604384,false
Delhi charter,2,2,0,34244,false
Dell Rapids,2,2,0,74513,false
Delmar,4,4,0,1443335,false
Delta Junction,2,2,0,1248567,false
Demopolis,2,1,1,353192,false
Denham Springs,2,2,0,424924,false
Denison,4,4,0,38727050,false
Denton,2,2,0,367256,false
Denver,1,0,1,0,false
Derby,2,2,0,3383103,false
Derry,1,1,0,139849,false
Detroit,1,1,0,1083226,false
Detroit Lakes,3,3,0,43623134,false
Dewey Beach,1,1,0,1090670,false
Dewey-Humboldt,1,0,1,0,false
Diamondville,3,3,0,489157,false
Dickinson,3,3,0,34854745,false
Dickson,1,1,0,419633,false
Dickson City,2,2,0,232077,false
Dillingham,1,1,0,585165,false
Dilworth,2,2,0,3041624,false
Dobbs Ferry,3,2,1,8508818,false
Dodgeville,1,1,0,2443598,false
Dolton,1,1,0,1662767,false
Donald,3,3,0,4474647,false
Donna,3,3,0,32527278,false
Doraville,1,1,0,669444,false
Dormont,4,4,0,2705822,false
Dorr,1,1,0,230271,false
Douglas,2,2,0,406127,false
Douglasville,1,0,1,0,false
Dover,3,0,3,0,false
Dover-Foxcroft,1,1,0,101737,false
Dowagiac,1,1,0,8347833,false
Downers Grove,3,3,0,4836140,false
Doylestown,2,2,0,5273472,false
Drayton,1,1,0,87733,false
Driggs,2,1,1,349983,false
Du Page,1,1,0,15606049,false
DuPont,1,1,0,96313,false
Dublin,4,3,1,3848523,false
Duchesne,2,0,2,0,false
Duchouquet,3,3,0,1561249,false
Dumfries,2,1,1,2437639,false
Dunbar,1,1,0,66509,false
Duncan,3,2,1,5473521,false
Dundee,3,3,0,23037641,false
Dunkirk,3,1,2,1096899,false
Durant,1,1,0,83185,false
Durham,1,1,0,5856939,false
Dutton,3,3,0,5804331,false
Duxbury,4,4,0,6753046,false
Eagar,2,1,1,1105604,false
Eagle,1,1,0,1962054,false
Eagle Grove,3,3,0,6578573,false
East Aurora,1,1,0,289694,false
East Bethel,3,3,0,75853578,false
East Chicago,5,5,0,2394965,false
East Goshen,3,3,0,25751320,false
East Grand Forks,3,3,0,61897259,false
East Grand Rapids,1,1,0,3955311,false
East Greenwich,3,3,0,6130253,false
East Haddam,1,1,0,297766,false
East Hartford,3,1,2,1237593,false
East Haven,2,2,0,239746,false
East Helena,3,3,0,338906,false
East Hempfield,2,2,0,8884698,false
East Lampeter,2,2,0,1512216,false
East Lyme,3,3,0,10693098,false
East Montpelier,1,1,0,799252,false
East Point,1,1,0,76590,false
East Ridge,3,3,0,4232463,false
East Rochester,1,1,0,140285,false
East St. Louis,1,1,0,52559,false
East Troy,1,1,0,107994,false
East Whiteland,2,2,0,888588,false
East Windsor,2,1,1,3135,false
Easton,1,1,0,3740411,false
Eastport,2,2,0,467878,false
Eaton Rapids,1,1,0,380097,false
Eatonville,3,3,0,11507491,false
Eau Claire,3,3,0,404358,false
Economy,2,2,0,1259749,false
