canonical_candidate_id,canonical_locator_id,duplicate_group_role,duplicate_group_basis
RESCAND-cf46efa3debb1f669c6111f1,EXTLOC-f82ad01d2a12a6270138e490,,
RESCAND-9f430ce2f6b17dd78f92259b,EXTLOC-6fa55c490fe49f306904aebb,,
RESCAND-b018fd890bc898040ee512fc,EXTLOC-772002f9afbac77850290852,,
RESCAND-67ff2f13877a1940770897c4,EXTLOC-ac5b91159fd2303d53ef4b1a,,
RESCAND-007e89d6c216b1b178e3e46d,EXTLOC-d24a4e9fe4bcd194fc975946,,
RESCAND-119bf1d8d695d947f88f90c9,EXTLOC-7240ccd620beeca880d30c6e,,
RESCAND-29277fc6a6f8f29b1cf39656,EXTLOC-f7d900ab734224ed4fd6fae4,,
RESCAND-7cda74795fd272b5f2e42e72,EXTLOC-fd02ac1a7a23c53f476d3059,,
RESCAND-295638d6ffc56d0684a4064d,EXTLOC-30766d9ec86dc42def2202d3,,
RESCAND-05d1f04376f75e0e88132442,EXTLOC-870f64008635fc2fa7755baa,,
RESCAND-01913cc574fa30eb575eedf4,EXTLOC-679ddae636cefd216bafc866,,
RESCAND-dbfdab7a42dfc9ae1c1bf15b,EXTLOC-12cf3b38c7161f5d2d542ac6,,
RESCAND-7ac40ac1476b7017958b9b57,EXTLOC-1f4b1a562f31530846ece793,,
RESCAND-8512fe8fa2dd13af0ed20b15,EXTLOC-de1dc5b7740c85dcab58d6f5,,
RESCAND-5451d8c26b189c5be2408474,EXTLOC-9d78081911dad2bcdad7f468,,
RESCAND-6ceb7c4247869c564c562d06,EXTLOC-7e7fe36f3431079581c45885,,
EXTCAND-50e650294bf77e95bea64bb3,EXTLOC-4109178d0ea790ec045f9ed6,,
RESCAND-1640488e319f08c3e9ecfe37,EXTLOC-e36394cb78567de70515c2ef,,
RESCAND-875d0b4612de80395661cfcb,EXTLOC-42896774805f5548886339f9,,
RESCAND-7fa4ff0618a07ec791907905,EXTLOC-8446a11a42504bd550c46c16,,
RESCAND-d26c5385ffe77273e93ed14c,EXTLOC-286f8bdf1ed4397b93448762,,
RESCAND-ad1cc0b4481b7cfee35e0186,EXTLOC-a399e4511820f099b23aecbb,,
RESCAND-19ab3d793f0055e41c531bb5,EXTLOC-67c61a9a2048148a033e97a9,,
RESCAND-39f1ca4251791a906a160b4e,EXTLOC-afedbdcdcf022065c3a3d322,,
RESCAND-d21ba7f1e884fc46752d2e35,EXTLOC-a4dc2c1dff2115a0975a8c36,,
RESCAND-628b5a996e6fa6136e13257d,EXTLOC-e5cbb5e7730de716817970ae,,
RESCAND-926109a05e759af87c55efd5,EXTLOC-6ae737b0a7765783cc235bad,,
RESCAND-12be406e7379bbe7fb74a5d3,EXTLOC-1ce90fd22ad79f35df6cb2eb,,
RESCAND-47db39e1f7fbb799ff6e6d7e,EXTLOC-b45e594db26ca576a459aa7c,,
EXTCAND-6c05a3b1b1d6ad810fa39526,EXTLOC-9ef65398c7dfc93214d1cfb0,,
EXTCAND-d6fffe534d1c6534eedc3766,EXTLOC-e85ab4f4a0ed9fc606cf6990,,
EXTCAND-53551530afea1574172daa05,EXTLOC-f7035002c924e8a46d4b04a3,,
RESCAND-f7a0e2bb728916cd0e0e2bd3,EXTLOC-cffb55b100e26227626cddd3,,
RESCAND-1deed2882d7153c467c12671,EXTLOC-1a8423764b22ae6bf6f0bbda,,
RESCAND-2e344118514bb876473d92e5,EXTLOC-220cf4f908ab958a35c04c39,,
